Site Name	Purpose	Culture	Location type	Water type	Capacity	Lat	Long
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Sukkertare	LAND	FERSKVANN/SALTVANN	19 TN	58.424515	8.756882
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Fingertare	LAND	FERSKVANN/SALTVANN	19 TN	58.424515	8.756882
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	3.2 DA	58.425850	8.754733
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Fingertare	SJØ	SALTVANN	3.2 DA	58.425850	8.754733
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Sukkertare	LAND	FERSKVANN/SALTVANN	19 TN	58.424515	8.756882
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Fingertare	LAND	FERSKVANN/SALTVANN	19 TN	58.424515	8.756882
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	1.3 DA	58.425467	8.753317
HAVFORSKNINGSINSTITUTTET	KOMMERSIELL	Fingertare	SJØ	SALTVANN	1.3 DA	58.425467	8.753317
LANDBASERT AKVAKULTUR NORGE AS	KOMMERSIELL	Sukkertare	LAND	SALTVANN	20 TN	58.051367	6.999150
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	25 DA	58.738250	9.204533
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	25 DA	58.738250	9.204533
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	25 DA	58.738250	9.204533
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Butare	SJØ	SALTVANN	25 DA	58.738250	9.204533
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	25 DA	58.738250	9.204533
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	20 DA	58.737233	9.182500
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	20 DA	58.737233	9.182500
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	20 DA	58.737233	9.182500
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Butare	SJØ	SALTVANN	20 DA	58.737233	9.182500
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	20 DA	58.737233	9.182500
AURORA SEAWEED AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	154 TN	69.781183	29.934400
AURORA SEAWEED AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	154 TN	69.781183	29.934400
AURORA SEAWEED AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	154 TN	69.781183	29.934400
AURORA SEAWEED AS	KOMMERSIELL	Butare	SJØ	SALTVANN	154 TN	69.781183	29.934400
