"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateuncertaintyinmeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http...unknown.org.captive","identificationID","occurrenceRemarks","identificationRemarks","informationWithheld","name","recordNumber","http...unknown.org.taxonRankID","identificationVerificationStatus","vernacularName","taxonConceptID","http...unknown.org.species","locality","dynamicProperties","verbatimSRS","associatedReferences","verbatimCoordinateSystem","eventRemarks","depth","depthAccuracy","organismQuantity","organismQuantityType","eventID","samplingEffort","samplingProtocol","datasetID","nameAccordingTo","continent","institutionID","language","type","ownerInstitutionCode","coordinatePrecision","elevation","institutionKey","collectionKey","habitat","preparations","verbatimElevation","elevationAccuracy","waterBody","rights","georeferenceSources"
3455534206,"Macrocystis pyrifera (Linnaeus) C.Agardh",33.544452,-117.799848,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:41:39.523+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-03T00:06:32",8,"California",2022,1,2,"2022-01-02T11:15:00","2022-01-04T00:54:55.000+00:00","2022-03-08T17:41:39.523+00:00","https://www.inaturalist.org/observations/104230530","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","Darrell K. Moore","104230530","darrellsdives","2022/01/02 11:15 AM PST","iNaturalist research-grade observations","Shaws Orange County, CA, USA",3455534206,"Observations","https://www.inaturalist.org/observations/104230530","124748","Darrell K. Moore","104230530","iNaturalist","19:15:00Z","Darrell K. Moore","wild",229366290,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455567143,"Macrocystis pyrifera (Linnaeus) C.Agardh",36.627389,-121.940675,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:29:19.491+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-03T04:03:17",10,"California",2022,1,2,"2022-01-02T15:18:05","2022-01-04T00:54:09.000+00:00","2022-03-08T17:29:19.491+00:00","https://www.inaturalist.org/observations/104244622","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","seaslugin","104244622","seaslugin","Sun Jan 02 2022 15:18:05 GMT-0800 (PST)","iNaturalist research-grade observations","North Pacific Ocean, Pacific Grove, CA, US",3455567143,"Observations","https://www.inaturalist.org/observations/104244622","124748","seaslugin","104244622","iNaturalist","23:18:05Z","seaslugin","wild",229403287,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455671464,"Macrocystis pyrifera (Linnaeus) C.Agardh",33.706798,-118.285964,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:49:17.367+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-13T01:41:02",NA,"California",2022,1,12,"2022-01-12T13:36:22","2022-01-17T21:38:02.000+00:00","2022-03-08T17:49:17.367+00:00","https://www.inaturalist.org/observations/104839172","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","Bennett Grappone","104839172","bennett_grappone","2022-01-12 13:36:22","iNaturalist research-grade observations","Coastal San Pedro, Los Angeles, CA, USA",3455671464,"Observations","https://www.inaturalist.org/observations/104839172","124748","Bennett Grappone","104839172","iNaturalist","21:36:22Z","Heather Fulton-Bennett","wild",231234813,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455815948,"Macrocystis pyrifera (Linnaeus) C.Agardh",33.716654,-118.31993,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:34:03.773+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-06T00:48:00",8,"California",2022,1,5,"2022-01-05T16:44:11","2022-01-06T23:07:52.000+00:00","2022-03-08T17:34:03.773+00:00","https://www.inaturalist.org/observations/104436121","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","Kevin","104436121","geologykevin","2022-01-05 16:44:11","iNaturalist research-grade observations","Coastal San Pedro, Los Angeles, CA, USA",3455815948,"Observations","https://www.inaturalist.org/observations/104436121","124748","Kevin","104436121","iNaturalist","00:44:11Z","Kevin","wild",229958608,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455882136,"Macrocystis pyrifera (Linnaeus) C.Agardh",37.929959,-122.746056,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:43:09.287+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-15T19:26:03",79,"California",2022,1,14,"2022-01-14T15:25:00","2022-01-17T21:37:53.000+00:00","2022-03-08T17:43:09.287+00:00","https://www.inaturalist.org/observations/104985390","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","P Holroyd","104985390","pholroyd","2022/01/14 3:25 PM PST","iNaturalist research-grade observations","Marin County, CA, USA",3455882136,"Observations","https://www.inaturalist.org/observations/104985390","124748","P Holroyd","104985390","iNaturalist","23:25:00Z","P Holroyd","wild",231694057,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455918878,"Macrocystis pyrifera (Linnaeus) C.Agardh",48.858473,-125.160476,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T18:08:33.441+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-18T19:39:40",85,"British Columbia",2022,1,16,"2022-01-16T14:43:00","2022-01-24T19:57:46.000+00:00","2022-03-08T18:08:33.441+00:00","https://www.inaturalist.org/observations/105169070","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","CA","Canada","Clay Steell","105169070","claysteell","2022/01/16 2:43 PM UTC","iNaturalist research-grade observations","Wizard",3455918878,"Observations","https://www.inaturalist.org/observations/105169070","124748","Clay Steell","105169070","iNaturalist","14:43:00Z","Clay Steell","wild",232263626,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455939172,"Macrocystis pyrifera (Linnaeus) C.Agardh",35.170855,-120.755387,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:52:48.858+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-15T04:51:02",234,"California",2022,1,10,"2022-01-10T15:00:00","2022-01-15T13:25:15.000+00:00","2022-03-08T17:52:48.858+00:00","https://www.inaturalist.org/observations/104954983","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","Blythe Nilson","104954983","blythenilson","2022/01/10 3:00 PM UTC","iNaturalist research-grade observations","San Luis Obispo County, CA, USA",3455939172,"Observations","https://www.inaturalist.org/observations/104954983","124748","Blythe Nilson","104954983","iNaturalist","15:00:00Z","Blythe Nilson","wild",231597622,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3456087628,"Macrocystis pyrifera (Linnaeus) C.Agardh",35.565122,-121.108561,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:29:57.884+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-15T17:55:19",NA,"California",2022,1,15,"2022-01-15T08:44:44","2022-01-15T18:12:48.000+00:00","2022-03-08T17:29:57.884+00:00","https://www.inaturalist.org/observations/104980435","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","Chaparral805","104980435","chaparral805","2022-01-15 08:44:44","iNaturalist research-grade observations","Cambria, CA, USA",3456087628,"Observations","https://www.inaturalist.org/observations/104980435","124748","Chaparral805","104980435","iNaturalist","16:44:44Z","Chaparral805","wild",231678531,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3456204748,"Macrocystis pyrifera (Linnaeus) C.Agardh",34.406114,-119.878006,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:31:49.540+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-03T01:35:38",NA,"California",2022,1,2,"2022-01-02T15:36:10","2022-01-04T00:54:54.000+00:00","2022-03-08T17:31:49.540+00:00","https://www.inaturalist.org/observations/104235994","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","US","United States of America","Thomas Everest","104235994","thomaseverest","2022-01-02 15:36:10","iNaturalist research-grade observations","Santa Barbara County, CA, USA",3456204748,"Observations","https://www.inaturalist.org/observations/104235994","124748","Thomas Everest","104235994","iNaturalist","23:36:10Z","Thomas Everest","wild",229380345,NA,NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3456206455,"Macrocystis pyrifera (Linnaeus) C.Agardh",48.389678,-123.943387,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T18:00:04.258+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5422328,4,98,7073593,560,7740,3195765,5422328,5422328,"Macrocystis pyrifera (Linnaeus) C.Agardh","Chromista","Ochrophyta","Laminariales","Laminariaceae","Macrocystis","Macrocystis pyrifera","Macrocystis","pyrifera","SPECIES","ACCEPTED","NE","2022-01-16T01:07:38",NA,"British Columbia",2022,1,13,"2022-01-13T11:32:00","2022-01-16T01:28:36.000+00:00","2022-03-08T18:00:04.258+00:00","https://www.inaturalist.org/observations/105005177","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Phaeophyceae","CA","Canada","mtncatt","105005177","mtncatt","2022/01/13 11:32 AM MST","iNaturalist research-grade observations","Capital, British Columbia, Canada",3456206455,"Observations","https://www.inaturalist.org/observations/105005177","124748","mtncatt","105005177","iNaturalist","18:32:00Z","mtncatt","wild",231747182,"Washed up on French Beach.",NA,NA,"Macrocystis pyrifera (Linnaeus) C.Agardh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
